epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,260.813,0.4555,0.43801,0.83618,0.94787,0.98458,0.99444,0.86496,0.47387,0.56355,0.82918,9.9008e-05,9.9008e-05,9.9008e-05
82,263.839,0.4471,0.43363,0.8316,0.96941,0.99307,0.99423,0.85684,0.47208,0.5459,0.82881,9.42956e-05,9.42956e-05,9.42956e-05
83,267.018,0.43896,0.42834,0.83381,0.96391,1,0.99423,0.86991,0.47296,0.589,0.82778,8.95832e-05,8.95832e-05,8.95832e-05
84,270.34,0.43708,0.42834,0.83028,0.91293,1,0.99434,0.8732,0.45677,0.61434,0.82606,8.48708e-05,8.48708e-05,8.48708e-05
85,273.471,0.44834,0.43301,0.83551,0.91623,1,0.93196,0.81945,0.44982,0.5805,0.82559,8.01584e-05,8.01584e-05,8.01584e-05
86,276.791,0.44171,0.42358,0.83277,0.97168,1,0.99394,0.87208,0.46595,0.55811,0.82441,7.5446e-05,7.5446e-05,7.5446e-05
87,280.375,0.44304,0.43034,0.83749,0.97801,0.99747,0.99404,0.86755,0.46957,0.56402,0.82494,7.07336e-05,7.07336e-05,7.07336e-05
88,283.985,0.43906,0.42864,0.83466,0.97931,0.99504,0.99404,0.86708,0.45846,0.55132,0.82637,6.60212e-05,6.60212e-05,6.60212e-05
89,287.498,0.44702,0.42979,0.84083,0.97022,0.99927,0.99453,0.88813,0.46196,0.55496,0.82398,6.13088e-05,6.13088e-05,6.13088e-05
90,290.921,0.43724,0.42583,0.83722,0.92267,0.99801,0.99443,0.87383,0.45981,0.57614,0.82689,5.65964e-05,5.65964e-05,5.65964e-05
91,308.035,0.44971,0.49392,0.81733,0.98261,1,0.99443,0.87981,0.45365,0.5537,0.82994,5.1884e-05,5.1884e-05,5.1884e-05
92,310.926,0.44619,0.49154,0.81141,0.97835,1,0.99376,0.84793,0.46182,0.52234,0.83026,4.71716e-05,4.71716e-05,4.71716e-05
93,314.117,0.43829,0.46745,0.80856,0.9773,1,0.99376,0.8452,0.47106,0.5735,0.82926,4.24592e-05,4.24592e-05,4.24592e-05
94,317.359,0.42209,0.45288,0.80235,0.97461,0.99992,0.99346,0.87251,0.46758,0.58313,0.82702,3.77468e-05,3.77468e-05,3.77468e-05
95,320.611,0.42569,0.45324,0.80948,0.96727,1,0.99327,0.87377,0.46366,0.56396,0.82958,3.30344e-05,3.30344e-05,3.30344e-05
96,323.717,0.41406,0.4426,0.81078,0.9617,1,0.99338,0.87201,0.46663,0.53508,0.82639,2.8322e-05,2.8322e-05,2.8322e-05
97,326.955,0.4143,0.44108,0.81394,0.94474,1,0.99329,0.86522,0.46145,0.53986,0.82547,2.36096e-05,2.36096e-05,2.36096e-05
98,330.092,0.41825,0.44253,0.80863,0.93336,1,0.99318,0.86724,0.46036,0.55532,0.82717,1.88972e-05,1.88972e-05,1.88972e-05
99,332.952,0.41121,0.43662,0.81003,0.91898,1,0.99367,0.86991,0.45993,0.55687,0.82706,1.41848e-05,1.41848e-05,1.41848e-05
100,335.931,0.41526,0.4382,0.80733,0.91247,1,0.99378,0.86879,0.45426,0.54601,0.82554,9.4724e-06,9.4724e-06,9.4724e-06
