epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,150.199,0.445,0.44444,0.84109,0.90668,1,0.9305,0.82587,0.4505,0.36066,0.8289,8.48946e-05,8.48946e-05,8.48946e-05
91,164.138,0.49498,0.70013,0.82564,0.90931,1,0.93108,0.82847,0.44729,0.36046,0.83103,7.7826e-05,7.7826e-05,7.7826e-05
92,165.797,0.45823,0.50045,0.81387,0.91031,1,0.93108,0.81101,0.45186,0.37988,0.83377,7.07574e-05,7.07574e-05,7.07574e-05
93,167.358,0.43689,0.50492,0.80951,0.90901,1,0.93127,0.81327,0.44904,0.38098,0.83115,6.36888e-05,6.36888e-05,6.36888e-05
94,168.918,0.41223,0.5718,0.79836,0.90833,1,0.93147,0.81132,0.46141,0.37818,0.83066,5.66202e-05,5.66202e-05,5.66202e-05
95,170.47,0.48938,0.75486,0.81845,0.90805,1,0.9314,0.81772,0.46239,0.37282,0.83053,4.95516e-05,4.95516e-05,4.95516e-05
96,172.058,0.44935,0.47992,0.82129,0.91079,1,0.9312,0.82482,0.45232,0.36905,0.83161,4.2483e-05,4.2483e-05,4.2483e-05
97,173.649,0.44907,0.47834,0.81893,0.91191,1,0.9312,0.82664,0.4459,0.36575,0.83146,3.54144e-05,3.54144e-05,3.54144e-05
98,175.265,0.43745,0.57185,0.8279,0.91266,1,0.9312,0.82638,0.44364,0.36463,0.83114,2.83458e-05,2.83458e-05,2.83458e-05
99,176.802,0.4021,0.48815,0.80676,0.91281,1,0.9312,0.8247,0.4445,0.36098,0.83134,2.12772e-05,2.12772e-05,2.12772e-05
100,178.372,0.45672,0.49446,0.82248,0.91362,1,0.93101,0.82161,0.44587,0.36173,0.83072,1.42086e-05,1.42086e-05,1.42086e-05
